"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9845","7130",閉鎖テナント館,"7130 閉鎖テナント館","0071",調整総合,"0071 調整総合",
"9888","7150",閉鎖後経費管理店,"7150 閉鎖後経費管理店","0071",調整総合,"0071 調整総合",
"9889","7150",閉鎖後経費管理店,"7150 閉鎖後経費管理店","0071",調整総合,"0071 調整総合",
"9002","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9004","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9005","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9006","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9007","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9009","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9010","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9011","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9012","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9013","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9014","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9015","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9016","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9017","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9018","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9019","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9020","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9021","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9022","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9023","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
